time,open_price,high_price,low_price,close_price,volume_btc,trade_count,volatility,momentum,pct_change,risk
2025-12-06 04:37:00,89645.620000,89645.630000,89609.990000,89610.000000,1.982350,802,35.640000,-35.620000,-0.000397,17.978662
2025-12-06 04:38:00,89610.000000,89610.000000,89598.080000,89598.090000,2.167540,1411,11.920000,-11.910000,-0.000133,5.499322
2025-12-06 04:39:00,89598.080000,89614.650000,89598.080000,89601.240000,3.574710,860,16.570000,3.160000,0.000035,4.635341
2025-12-06 04:40:00,89601.230000,89657.370000,89601.230000,89644.100000,5.318350,2192,56.140000,42.870000,0.000478,10.555905
2025-12-06 04:41:00,89644.090000,89644.100000,89608.000000,89608.010000,6.428560,853,36.100000,-36.080000,-0.000402,5.615566
2025-12-06 04:42:00,89608.010000,89608.010000,89560.000000,89566.070000,7.537860,1723,48.010000,-41.940000,-0.000468,6.369182
2025-12-06 04:43:00,89566.080000,89566.080000,89553.810000,89553.820000,1.398740,1643,12.270000,-12.260000,-0.000137,8.772181
2025-12-06 04:44:00,89553.810000,89579.290000,89553.810000,89579.290000,1.776030,985,25.480000,25.480000,0.000285,14.346605
2025-12-06 04:45:00,89579.290000,89606.860000,89561.880000,89606.860000,7.876280,1935,44.980000,27.570000,0.000308,5.710818
2025-12-06 04:46:00,89606.860000,89631.950000,89606.850000,89631.940000,1.211190,668,25.100000,25.080000,0.000280,20.723421
2025-12-06 04:47:00,89631.940000,89631.950000,89615.860000,89615.860000,1.892980,1307,16.090000,-16.080000,-0.000179,8.499826
2025-12-06 04:48:00,89615.860000,89615.870000,89608.000000,89608.000000,0.769340,298,7.870000,-7.860000,-0.000088,10.229547
2025-12-06 04:49:00,89608.010000,89650.980000,89608.000000,89650.970000,2.436600,1374,42.980000,42.960000,0.000479,17.639333
2025-12-06 04:50:00,89650.970000,89678.830000,89650.970000,89678.830000,2.188980,1231,27.860000,27.860000,0.000311,12.727389
2025-12-06 04:51:00,89678.820000,89678.830000,89608.030000,89608.040000,5.524800,4168,70.800000,-70.780000,-0.000789,12.814944
2025-12-06 04:52:00,89608.040000,89648.630000,89604.000000,89648.630000,2.220170,2201,44.630000,40.590000,0.000453,20.102064
2025-12-06 04:53:00,89648.630000,89648.630000,89616.620000,89616.630000,1.872060,2193,32.010000,-32.000000,-0.000357,17.098811
2025-12-06 04:54:00,89616.630000,89637.810000,89615.870000,89615.880000,1.862040,1533,21.940000,-0.750000,-0.000008,11.782776
2025-12-06 04:55:00,89615.870000,89678.820000,89615.870000,89659.010000,5.072030,2867,62.950000,43.140000,0.000481,12.411204
2025-12-06 04:56:00,89659.010000,89700.000000,89659.000000,89700.000000,1.046940,1564,41.000000,40.990000,0.000457,39.161748
2025-12-06 04:57:00,89699.990000,89700.000000,89682.690000,89682.700000,0.552910,831,17.310000,-17.290000,-0.000193,31.307084
2025-12-06 04:58:00,89682.690000,89682.700000,89670.000000,89670.000000,0.795930,1000,12.700000,-12.690000,-0.000141,15.956177
2025-12-06 04:59:00,89670.010000,89670.010000,89659.000000,89659.010000,0.366340,667,11.010000,-11.000000,-0.000123,30.054048
2025-12-06 05:00:00,89659.000000,89700.000000,89659.000000,89699.990000,2.544440,1446,41.000000,40.990000,0.000457,16.113565
2025-12-06 05:01:00,89700.000000,89740.000000,89699.990000,89740.000000,7.666440,1850,40.010000,40.000000,0.000446,5.218850
2025-12-06 05:02:00,89740.000000,89740.000000,89731.610000,89732.590000,2.121990,722,8.390000,-7.410000,-0.000083,3.953836
2025-12-06 05:03:00,89732.580000,89732.590000,89710.000000,89710.000000,3.760560,2121,22.590000,-22.580000,-0.000252,6.007084
2025-12-06 05:04:00,89710.000000,89710.010000,89698.140000,89698.140000,1.695030,556,11.870000,-11.860000,-0.000132,7.002826
2025-12-06 05:05:00,89698.140000,89720.810000,89698.140000,89720.800000,1.633820,1054,22.670000,22.660000,0.000253,13.875458
2025-12-06 05:06:00,89720.810000,89720.810000,89685.000000,89690.690000,2.194740,2545,35.810000,-30.120000,-0.000336,16.316283
2025-12-06 05:07:00,89690.690000,89709.880000,89690.690000,89699.990000,1.613630,2914,19.190000,9.300000,0.000104,11.892441
2025-12-06 05:08:00,89699.990000,89699.990000,89693.280000,89693.280000,1.067980,474,6.710000,-6.710000,-0.000075,6.282889
2025-12-06 05:09:00,89693.290000,89721.170000,89693.280000,89721.170000,1.848240,663,27.890000,27.880000,0.000311,15.090032
2025-12-06 05:10:00,89721.170000,89721.170000,89721.160000,89721.160000,3.486650,332,0.010000,-0.010000,-0.000000,0.002868
2025-12-06 05:11:00,89721.160000,89725.980000,89711.650000,89711.660000,2.081870,645,14.330000,-9.500000,-0.000106,6.883235
2025-12-06 05:12:00,89711.660000,89711.660000,89696.510000,89696.520000,1.523760,964,15.150000,-15.140000,-0.000169,9.942511
2025-12-06 05:13:00,89696.510000,89701.140000,89696.510000,89701.140000,1.474670,445,4.630000,4.630000,0.000052,3.139685
2025-12-06 05:14:00,89701.140000,89703.170000,89701.140000,89703.160000,0.611460,154,2.030000,2.020000,0.000023,3.319923
2025-12-06 05:15:00,89703.170000,89703.170000,89674.230000,89679.950000,1.497340,2354,28.940000,-23.220000,-0.000259,19.327608
2025-12-06 05:16:00,89679.960000,89679.960000,89608.000000,89608.000000,6.513070,4615,71.960000,-71.960000,-0.000802,11.048553
2025-12-06 05:17:00,89608.000000,89608.010000,89586.440000,89586.440000,1.954530,1649,21.570000,-21.560000,-0.000241,11.035901
2025-12-06 05:18:00,89586.440000,89618.540000,89553.810000,89618.540000,7.586730,4120,64.730000,32.100000,0.000358,8.532003
2025-12-06 05:19:00,89618.530000,89624.550000,89608.000000,89624.540000,3.422900,1772,16.550000,6.010000,0.000067,4.835081
2025-12-06 05:20:00,89624.550000,89665.530000,89624.540000,89665.530000,1.621550,2215,40.990000,40.980000,0.000457,25.278283
2025-12-06 05:21:00,89665.530000,89665.530000,89611.730000,89626.130000,1.873050,2970,53.800000,-39.400000,-0.000439,28.723205
2025-12-06 05:22:00,89626.130000,89636.040000,89614.210000,89614.210000,1.781900,2110,21.830000,-11.920000,-0.000133,12.250968
2025-12-06 05:23:00,89614.210000,89644.380000,89614.210000,89644.370000,1.139740,1180,30.170000,30.160000,0.000337,26.470950
2025-12-06 05:24:00,89644.370000,89669.680000,89644.360000,89651.260000,1.895850,1443,25.320000,6.890000,0.000077,13.355487
2025-12-06 05:25:00,89651.260000,89651.270000,89602.270000,89602.280000,1.928320,2230,49.000000,-48.980000,-0.000546,25.410720
2025-12-06 05:26:00,89602.280000,89618.520000,89592.500000,89618.520000,4.513260,1456,26.020000,16.240000,0.000181,5.765234
2025-12-06 05:27:00,89618.520000,89618.520000,89592.110000,89592.110000,3.933420,1808,26.410000,-26.410000,-0.000295,6.714259
2025-12-06 05:28:00,89592.120000,89592.120000,89592.110000,89592.120000,0.414300,104,0.010000,0.000000,0.000000,0.024137
2025-12-06 05:29:00,89592.120000,89613.590000,89592.110000,89613.590000,1.166740,784,21.480000,21.470000,0.000240,18.410271
2025-12-06 05:30:00,89613.580000,89613.590000,89587.650000,89587.650000,4.907900,2204,25.940000,-25.930000,-0.000289,5.285356
2025-12-06 05:31:00,89587.650000,89587.660000,89576.040000,89576.040000,2.217360,1091,11.620000,-11.610000,-0.000130,5.240466
2025-12-06 05:32:00,89576.050000,89576.050000,89565.070000,89568.540000,2.716490,1414,10.980000,-7.510000,-0.000084,4.041981
2025-12-06 05:33:00,89568.530000,89568.540000,89554.120000,89554.120000,1.092950,918,14.420000,-14.410000,-0.000161,13.193650
2025-12-06 05:34:00,89554.120000,89560.290000,89524.030000,89560.290000,6.579590,2537,36.260000,6.170000,0.000069,5.510982
2025-12-06 05:35:00,89560.280000,89568.600000,89553.810000,89568.600000,2.543940,1206,14.790000,8.320000,0.000093,5.813816
2025-12-06 05:36:00,89568.600000,89568.600000,89539.050000,89539.050000,4.008270,1181,29.550000,-29.550000,-0.000330,7.372258
2025-12-06 05:37:00,89539.050000,89547.960000,89539.050000,89547.960000,1.184560,375,8.910000,8.910000,0.000100,7.521780
2025-12-06 05:38:00,89547.960000,89570.610000,89547.950000,89570.610000,1.843490,1134,22.660000,22.650000,0.000253,12.291903
2025-12-06 05:39:00,89570.600000,89570.610000,89543.340000,89554.200000,2.791660,1737,27.270000,-16.400000,-0.000183,9.768382
2025-12-06 05:40:00,89554.200000,89560.490000,89545.570000,89560.480000,2.089720,924,14.920000,6.280000,0.000070,7.139712
2025-12-06 05:41:00,89560.480000,89560.490000,89558.540000,89558.550000,1.008500,296,1.950000,-1.930000,-0.000022,1.933565
2025-12-06 05:42:00,89558.550000,89567.230000,89558.540000,89558.540000,1.256610,721,8.690000,-0.010000,-0.000000,6.915431
2025-12-06 05:43:00,89558.550000,89594.500000,89558.540000,89594.500000,5.765060,1190,35.960000,35.950000,0.000401,6.237576
2025-12-06 05:44:00,89594.500000,89594.500000,89553.810000,89553.820000,5.465340,2076,40.690000,-40.680000,-0.000454,7.445099
2025-12-06 05:45:00,89553.810000,89553.820000,89545.580000,89552.210000,1.882400,1170,8.240000,-1.600000,-0.000018,4.377391
2025-12-06 05:46:00,89552.200000,89552.210000,89545.580000,89548.430000,0.632260,685,6.630000,-3.770000,-0.000042,10.486192
2025-12-06 05:47:00,89548.420000,89570.010000,89548.420000,89570.000000,1.069350,859,21.590000,21.580000,0.000241,20.189835
2025-12-06 05:48:00,89570.010000,89580.940000,89563.270000,89580.930000,2.246910,1958,17.670000,10.920000,0.000122,7.864133
2025-12-06 05:49:00,89580.940000,89582.750000,89562.150000,89582.750000,1.820250,2105,20.600000,1.810000,0.000020,11.317127
2025-12-06 05:50:00,89582.750000,89582.750000,89557.160000,89557.170000,3.698950,1388,25.590000,-25.580000,-0.000286,6.918179
2025-12-06 05:51:00,89557.170000,89603.130000,89557.160000,89594.170000,1.940100,1922,45.970000,37.000000,0.000413,23.694655
2025-12-06 05:52:00,89594.160000,89609.460000,89585.820000,89609.450000,2.425880,1511,23.640000,15.290000,0.000171,9.744917
2025-12-06 05:53:00,89609.460000,89609.460000,89608.000000,89608.000000,0.954630,228,1.460000,-1.460000,-0.000016,1.529388
2025-12-06 05:54:00,89608.010000,89608.010000,89607.140000,89607.160000,0.826460,261,0.870000,-0.850000,-0.000009,1.052683
2025-12-06 05:55:00,89607.160000,89637.430000,89598.180000,89637.420000,1.875140,1950,39.250000,30.260000,0.000338,20.931770
2025-12-06 05:56:00,89637.430000,89648.190000,89629.070000,89629.070000,1.059770,1307,19.120000,-8.360000,-0.000093,18.041651
2025-12-06 05:57:00,89629.080000,89629.080000,89612.060000,89612.060000,0.786300,429,17.020000,-17.020000,-0.000190,21.645682
2025-12-06 05:58:00,89612.070000,89612.070000,89612.060000,89612.070000,2.580590,163,0.010000,0.000000,0.000000,0.003875
2025-12-06 05:59:00,89612.060000,89612.070000,89604.970000,89604.980000,1.472010,796,7.100000,-7.080000,-0.000079,4.823337
2025-12-06 06:00:00,89604.970000,89604.980000,89562.240000,89562.240000,2.750370,2231,42.740000,-42.730000,-0.000477,15.539727
2025-12-06 06:01:00,89562.250000,89562.250000,89553.810000,89553.810000,3.000350,560,8.440000,-8.440000,-0.000094,2.813005
2025-12-06 06:02:00,89553.810000,89553.820000,89527.260000,89531.740000,2.906280,1170,26.560000,-22.070000,-0.000246,9.138830
2025-12-06 06:03:00,89531.740000,89549.450000,89531.740000,89549.440000,1.355770,505,17.710000,17.700000,0.000198,13.062688
2025-12-06 06:04:00,89549.440000,89584.940000,89542.090000,89584.930000,2.078120,3131,42.850000,35.490000,0.000396,20.619598
2025-12-06 06:05:00,89584.930000,89596.450000,89571.870000,89596.440000,2.032540,1291,24.580000,11.510000,0.000128,12.093243
2025-12-06 06:06:00,89596.440000,89610.170000,89596.440000,89610.170000,0.539260,589,13.730000,13.730000,0.000153,25.460817
2025-12-06 06:07:00,89610.160000,89647.470000,89610.160000,89647.470000,1.153640,1836,37.310000,37.310000,0.000416,32.341112
2025-12-06 06:08:00,89647.470000,89647.470000,89631.290000,89644.030000,1.328650,1161,16.180000,-3.440000,-0.000038,12.177774
2025-12-06 06:09:00,89644.030000,89644.030000,89634.690000,89637.510000,0.653230,493,9.340000,-6.520000,-0.000073,14.298180
2025-12-06 06:10:00,89637.510000,89640.560000,89618.140000,89632.380000,4.608020,2048,22.420000,-5.130000,-0.000057,4.865430
2025-12-06 06:11:00,89632.390000,89647.790000,89632.380000,89647.790000,2.102500,727,15.410000,15.400000,0.000172,7.329370
2025-12-06 06:12:00,89647.780000,89647.790000,89647.780000,89647.790000,0.353910,89,0.010000,0.010000,0.000000,0.028256
2025-12-06 06:13:00,89647.780000,89677.970000,89642.480000,89677.960000,5.842390,1752,35.490000,30.180000,0.000337,6.074569
2025-12-06 06:14:00,89677.960000,89677.970000,89677.960000,89677.970000,0.394430,170,0.010000,0.010000,0.000000,0.025353
2025-12-06 06:15:00,89677.960000,89677.970000,89677.960000,89677.970000,1.619860,163,0.010000,0.010000,0.000000,0.006173
2025-12-06 06:16:00,89677.970000,89677.970000,89642.720000,89653.110000,3.492540,1942,35.250000,-24.860000,-0.000277,10.092941
2025-12-06 06:17:00,89653.120000,89673.880000,89653.110000,89673.870000,0.747880,737,20.770000,20.750000,0.000231,27.771835
2025-12-06 06:18:00,89673.870000,89673.880000,89620.940000,89643.800000,2.427380,3340,52.940000,-30.070000,-0.000335,21.809523
2025-12-06 06:19:00,89643.810000,89649.270000,89643.800000,89644.550000,0.545700,404,5.470000,0.740000,0.000008,10.023823
2025-12-06 06:20:00,89644.550000,89653.870000,89623.120000,89653.720000,5.704170,1992,30.750000,9.170000,0.000102,5.390793
2025-12-06 06:21:00,89653.730000,89653.730000,89641.870000,89646.670000,0.696900,508,11.860000,-7.060000,-0.000079,17.018224
2025-12-06 06:22:00,89646.670000,89690.460000,89646.670000,89690.460000,3.606200,1137,43.790000,43.790000,0.000488,12.142976
2025-12-06 06:23:00,89690.450000,89690.510000,89690.450000,89690.510000,2.206390,459,0.060000,0.060000,0.000001,0.027194
2025-12-06 06:24:00,89690.500000,89732.990000,89690.500000,89732.980000,7.124070,1322,42.490000,42.480000,0.000474,5.964287
2025-12-06 06:25:00,89732.990000,89732.990000,89710.000000,89710.010000,2.211280,1787,22.990000,-22.980000,-0.000256,10.396693
2025-12-06 06:26:00,89710.010000,89710.010000,89710.000000,89710.010000,1.466450,201,0.010000,0.000000,0.000000,0.006819
2025-12-06 06:27:00,89710.000000,89710.010000,89710.000000,89710.010000,1.110300,231,0.010000,0.010000,0.000000,0.009007
2025-12-06 06:28:00,89710.000000,89737.050000,89710.000000,89737.040000,2.066030,1362,27.050000,27.040000,0.000301,13.092743
2025-12-06 06:29:00,89737.040000,89764.190000,89737.040000,89744.200000,7.020210,2003,27.150000,7.160000,0.000080,3.867406
2025-12-06 06:30:00,89744.200000,89744.200000,89725.160000,89725.160000,2.028150,810,19.040000,-19.040000,-0.000212,9.387866
2025-12-06 06:31:00,89725.170000,89725.170000,89725.160000,89725.160000,0.638450,253,0.010000,-0.010000,-0.000000,0.015663
2025-12-06 06:32:00,89725.170000,89725.170000,89725.160000,89725.170000,2.669890,265,0.010000,0.000000,0.000000,0.003745
2025-12-06 06:33:00,89725.160000,89736.110000,89725.160000,89736.110000,1.290450,592,10.950000,10.950000,0.000122,8.485412
2025-12-06 06:34:00,89736.100000,89754.810000,89718.940000,89718.940000,3.081610,2280,35.870000,-17.160000,-0.000191,11.640019
2025-12-06 06:35:00,89718.950000,89756.440000,89713.030000,89722.390000,3.289910,1966,43.410000,3.440000,0.000038,13.194890
2025-12-06 06:36:00,89722.390000,89722.400000,89718.950000,89718.970000,0.310150,434,3.450000,-3.420000,-0.000038,11.123650
2025-12-06 06:37:00,89718.980000,89730.620000,89713.970000,89713.970000,1.244840,791,16.650000,-5.010000,-0.000056,13.375213
2025-12-06 06:38:00,89713.970000,89713.980000,89694.370000,89694.380000,2.329910,502,19.610000,-19.590000,-0.000218,8.416634
2025-12-06 06:39:00,89694.370000,89694.380000,89690.880000,89690.880000,0.839110,919,3.500000,-3.490000,-0.000039,4.171086
2025-12-06 06:40:00,89690.890000,89690.890000,89647.480000,89648.060000,3.849200,1439,43.410000,-42.830000,-0.000478,11.277668
2025-12-06 06:41:00,89648.060000,89675.680000,89648.060000,89675.670000,2.888580,1176,27.620000,27.610000,0.000308,9.561792
2025-12-06 06:42:00,89675.680000,89686.540000,89675.680000,89684.220000,2.467710,1707,10.860000,8.540000,0.000095,4.400841
2025-12-06 06:43:00,89684.220000,89684.230000,89671.040000,89671.050000,1.129370,634,13.190000,-13.170000,-0.000147,11.679078
2025-12-06 06:44:00,89671.040000,89671.050000,89659.000000,89659.000000,1.428430,475,12.050000,-12.040000,-0.000134,8.435835
2025-12-06 06:45:00,89659.010000,89659.010000,89624.470000,89657.370000,4.799000,2780,34.540000,-1.640000,-0.000018,7.197333
2025-12-06 06:46:00,89657.370000,89662.840000,89657.360000,89659.000000,3.523490,533,5.480000,1.630000,0.000018,1.555276
2025-12-06 06:47:00,89659.000000,89662.840000,89659.000000,89659.000000,1.605010,619,3.840000,0.000000,0.000000,2.392508
2025-12-06 06:48:00,89659.000000,89673.090000,89658.680000,89664.140000,3.704730,1322,14.410000,5.140000,0.000057,3.889622
2025-12-06 06:49:00,89664.130000,89673.090000,89664.130000,89673.090000,1.888920,370,8.960000,8.960000,0.000100,4.743451
2025-12-06 06:50:00,89673.080000,89673.090000,89666.900000,89666.900000,0.639800,371,6.190000,-6.180000,-0.000069,9.674898
2025-12-06 06:51:00,89666.900000,89669.840000,89640.730000,89669.830000,3.336360,1733,29.110000,2.930000,0.000033,8.725078
2025-12-06 06:52:00,89669.830000,89700.000000,89669.830000,89700.000000,1.471930,1120,30.170000,30.170000,0.000336,20.496899
2025-12-06 06:53:00,89699.990000,89700.000000,89684.910000,89693.860000,1.813650,763,15.090000,-6.130000,-0.000068,8.320238
2025-12-06 06:54:00,89693.850000,89693.860000,89681.500000,89681.500000,1.384120,524,12.360000,-12.350000,-0.000138,8.929862
2025-12-06 06:55:00,89681.500000,89681.510000,89667.130000,89667.140000,3.157370,553,14.380000,-14.360000,-0.000160,4.554423
2025-12-06 06:56:00,89667.140000,89688.650000,89667.130000,89688.640000,1.374440,630,21.520000,21.500000,0.000240,15.657286
2025-12-06 06:57:00,89688.650000,89688.650000,89681.210000,89681.220000,1.399290,389,7.440000,-7.430000,-0.000083,5.316982
2025-12-06 06:58:00,89681.220000,89681.220000,89673.850000,89678.450000,4.720260,773,7.370000,-2.770000,-0.000031,1.561355
2025-12-06 06:59:00,89678.440000,89688.650000,89678.440000,89688.650000,2.765290,410,10.210000,10.210000,0.000114,3.692199
2025-12-06 07:00:00,89688.650000,89690.530000,89688.640000,89690.530000,4.758660,687,1.890000,1.880000,0.000021,0.397171
2025-12-06 07:01:00,89690.530000,89696.270000,89688.650000,89688.660000,5.231490,976,7.620000,-1.870000,-0.000021,1.456564
